id,est_gender,est_age
1732,male,41
1733,female,30
1734,female,30
1735,male,52
1736,female,32
1737,male,23
1738,male,57
1739,male,52
1741,female,39
1742,female,50
1743,male,37
1744,female,46
1745,male,33
1746,male,64
1747,male,34
1749,male,34
1750,female,21
1751,male,38
1752,female,41
1753,male,41
1754,male,37
1755,female,32
1756,male,42
1758,female,54
1759,male,33
1760,male,34
1762,male,55
1763,female,41
1764,male,39
1765,male,56
1766,male,46
1767,female,35
1768,male,54
1769,male,63
1770,female,31
1771,male,24
1772,female,57
1773,female,59
1774,male,35
1776,male,56
1777,male,46
1778,male,37
1779,male,38
1780,male,45
1781,male,29
1783,male,40
1784,female,40
1785,male,43
1786,female,43
1787,male,20
1788,male,55
1789,male,52
1790,male,18
1791,female,39
1792,male,29
1793,female,43
1794,male,63
1795,male,41
1796,male,40
1797,female,25
1798,male,33
1799,male,43
1800,female,30
1801,female,36
1802,male,53
1803,female,29
1804,male,28
1806,male,32
1807,male,48
1808,male,29
1809,male,50
1810,male,57
1811,male,47
1812,female,41
1813,male,39
1814,female,26
1815,female,31
1816,male,43
1817,male,34
1818,male,68
1819,female,34
1820,male,29
1821,male,36
1822,female,51
1823,male,40
1824,male,39
1825,male,58
1826,female,39
1827,male,58
1828,male,69
1829,female,69
1830,male,25
1831,male,46
1832,female,28
1833,female,43
1834,male,28
1835,male,52
1836,male,51
1837,male,53
1838,female,37
1839,male,33
1840,male,50
1841,male,35
1842,female,36
1843,male,50
1845,female,34
1846,male,41
1847,female,47
1848,male,35
1849,male,37
1850,male,45
1851,male,44
1852,female,29
1853,male,42
1854,male,33
1855,female,42
1856,female,31
1857,female,38
1858,female,38
1859,male,34
1860,male,31
1861,male,38
1862,male,40
1863,male,50
1864,male,29
1865,male,47
1866,female,29
1872,male,36
1873,male,48
1874,male,40
1875,male,48
1876,male,35
1877,male,63
1878,male,48
1879,female,35
1880,male,63
1881,male,41
1882,female,33
1883,female,33
1885,male,32
1886,male,60
1887,female,38
1888,male,47
1889,male,40
1890,male,36
1891,male,37
1892,female,42
1893,male,46
1894,male,41
1895,female,36
1896,female,48
1897,male,33
1898,female,30
1900,female,37
1901,male,44
1902,male,33
1903,male,33
1904,male,54
1905,male,44
1906,female,36
1907,male,46
1908,male,37
1909,female,40
1910,female,42
1911,male,51
1912,male,37
1913,male,51
1914,female,38
1915,female,18
1916,male,32
1917,female,20
1918,female,55
1919,male,43
1920,male,46
1921,female,28
1922,male,36
1924,male,67
1925,male,39
1926,female,31
1927,male,33
1928,female,32
1929,male,40
1930,female,37
1931,male,48
1932,female,42
1933,female,28
1934,male,30
1935,male,36
1936,male,19
1937,female,44
1938,male,55
1939,female,45
1940,male,35
1941,male,31
1942,male,29
1943,female,41
1944,male,40
1945,female,35
1946,male,36
1947,male,58
1948,female,45
1949,female,37
1950,male,36
1951,male,50
1952,male,53
1953,male,39
1954,male,48
1955,male,25
1956,male,62
1957,female,30
1958,female,27
1959,male,46
1960,male,51
1961,female,28
1962,female,26
1963,male,35
1964,female,43
1965,male,31
1966,female,50
1969,male,57
1971,male,26
1972,male,50
1973,male,55
1974,female,38
1976,male,57
1977,male,66
1978,female,28
1979,male,48
1981,male,39
1982,male,38
1983,female,43
1984,male,32
1985,female,35
1986,male,34
1987,male,32
1988,male,39
1989,female,27
1990,female,36
1991,male,40
1992,male,49
1993,male,37
1994,male,31
1995,female,48
1996,male,55
1997,male,55
1998,male,32
1999,male,44
2000,male,39
2001,female,41
2002,male,56
2003,female,40
2004,male,55
2005,male,42
2006,male,31
2007,male,34
2008,male,29
2009,female,31
2010,male,53
2011,male,45
2012,male,36
2013,male,42
2014,male,53
2015,male,53
2016,female,22
2017,female,28
2018,male,36
2019,female,25
2020,male,47
2021,male,35
2022,female,35
2023,female,35
2024,male,35
2025,male,51
2026,male,55
2027,male,30
2028,female,26
2029,male,35
2030,female,38
2031,male,60
2032,female,46
2033,male,32
2034,male,44
2035,male,33
2036,male,41
2037,male,40
2038,male,60
2039,female,36
2041,male,36
2042,female,36
2043,male,55
2044,female,41
2045,male,45
2046,male,32
2047,male,31
2048,female,36
2049,male,36
2050,male,48
2052,female,30
2053,male,53
2054,female,30
2055,male,46
2056,female,35
2057,male,44
2059,male,34
2060,male,44
2061,male,46
2062,male,37
2063,male,38
2064,female,33
2065,female,33
2066,female,34
2067,male,59
2068,female,29
2069,male,43
2070,female,45
2071,female,45
2072,male,49
2073,female,35
2074,male,42
2075,male,31
2076,male,34
2077,female,47
2078,male,35
2088,male,56
2089,female,31
2090,male,52
2091,male,34
2092,male,68
2093,male,57
2094,male,38
2095,female,23
2096,male,36
2097,male,40
2098,female,50
2099,female,46
2100,female,28
2101,male,43
2102,female,31
2103,male,31
2104,female,30
2105,male,44
2106,male,40
2107,female,24
2108,female,37
2110,female,40
2111,female,30
2112,female,41
2113,male,32
2114,female,35
2115,male,55
2116,male,44
2117,male,41
2118,female,28
2119,male,27
2120,female,44
2121,male,33
2122,female,50
2124,female,35
2126,male,45
2127,female,42
2128,male,42
2130,male,49
2131,male,34
2132,male,36
2133,female,30
2134,male,45
2135,male,46
2136,female,20
2137,female,47
2138,male,26
2139,male,42
2140,female,34
2141,male,56
2142,male,33
2143,male,38
2144,male,55
2145,female,42
2146,female,34
2147,male,29
2148,male,46
2149,female,34
2150,male,45
2151,female,34
2152,female,28
2153,female,30
2154,male,34
2155,male,37
2156,female,50
2157,male,35
2158,female,38
2159,male,33
2160,female,30
2161,male,26
2162,male,39
2163,female,49
2164,male,49
2165,male,54
2166,male,44
2167,male,37
2168,male,54
2169,male,25
2170,female,23
2171,female,36
2172,male,51
2173,male,50
2174,female,34
2175,female,23
2176,female,31
2177,male,53
2178,male,38
2179,male,42
2180,male,35
2182,male,52
2183,male,33
2184,male,19
2185,female,32
2186,male,38
2193,male,44
2194,female,27
2195,female,30
2197,male,34
2198,male,58
2199,male,30
2200,female,23
2201,male,30
2202,male,30
2203,male,30
2204,male,27
2206,male,38
2207,male,26
2208,male,33
2209,male,25
2210,female,29
2211,male,51
2212,female,40
2213,male,30
2214,female,41
2215,male,38
2216,male,53
2217,female,31
2218,female,28
2219,male,35
2220,male,37
2221,male,27
2222,male,44
2223,female,63
2224,male,37
2225,male,57
2226,male,54
2227,female,31
2228,male,38
2229,male,42
2230,male,56
2231,male,31
2232,male,41
2233,male,55
2234,male,55
2235,female,42
2236,female,43
2237,female,31
2238,male,34
2239,male,50
2240,male,34
2241,female,44
2242,male,53
2243,male,40
2244,male,38
2245,male,37
2246,male,31
2247,female,30
2248,female,30
2249,male,30
2250,female,46
2251,female,28
2252,female,41
2253,male,40
2254,male,60
2255,male,31
2256,female,28
2257,male,31
2258,female,41
2260,female,40
2261,male,33
2262,female,26
2263,male,40
2264,male,49
2265,female,30
2272,male,47
2273,male,15
2274,male,40
2275,female,32
2276,female,36
2277,male,45
2278,female,32
2279,female,27
2280,female,26
2281,female,21
2282,female,40
2283,female,61
2284,female,29
2285,male,31
2286,male,52
2287,male,50
2288,female,23
2289,female,39
2291,male,36
2292,female,31
2293,male,71
2294,male,40
2295,female,18
2296,male,34
2297,female,36
2298,female,29
2299,male,33
2300,female,39
2301,female,46
2302,male,39
2303,male,45
2304,male,33
2305,male,33
2306,male,45
2307,male,33
2308,female,34
2309,female,31
2310,female,25
2311,female,25
2313,female,30
2314,male,36
2315,male,45
2316,male,46
2317,male,55
2318,female,46
2319,male,43
2320,female,46
2321,male,49
2322,male,37
2323,male,64
2324,male,68
2325,male,33
2326,male,48
2327,female,54
2328,female,30
2329,male,56
2330,female,40
2331,female,58
2332,male,27
2333,female,27
2335,female,33
2336,female,46
2337,female,58
2338,male,33
2339,female,34
2340,male,30
2341,female,28
2342,female,41
2343,male,38
2344,female,26
2345,male,37
2346,male,45
2348,male,44
2349,female,35
2351,female,33
2352,male,35
2353,male,37
2354,female,43
2356,female,27
2357,female,31
2358,female,37
2359,male,33
2361,male,50
2362,female,34
2363,male,31
2364,female,37
2365,male,32
2366,female,29
2367,female,33
2368,male,42
2369,male,34
2370,male,30
2371,male,37
2372,female,30
2373,male,53
2374,male,62
2375,male,34
2376,female,40
2377,female,31
2378,male,30
2379,male,55
2380,female,43
2381,female,40
2382,female,38
2383,female,39
2384,female,17
2385,female,35
2386,female,28
2387,female,34
2388,female,25
2389,male,45
2390,female,36
2391,male,20
2392,female,34
2393,female,41
2394,female,46
2395,male,38
2396,male,32
2397,male,59
2398,male,22
2399,male,50
2400,male,30
2401,male,34
2402,female,38
2403,male,40
2404,male,48
2405,male,25
2406,male,43
2407,female,37
2409,female,41
2410,male,32
2411,male,30
2412,female,48
2413,male,46
2415,female,43
2416,female,36
2417,female,25
2418,female,19
2419,male,42
2420,male,51
2423,female,34
2424,male,30
2425,female,30
2426,male,27
2427,male,45
2428,female,43
2429,female,31
